Class     Images  Instances      Precision          R      mAP50  mAP50-95)
                   all       3000       2632        0.2      0.206      0.138     0.0512
    Aortic enlargement        220        221      0.155      0.434       0.14      0.042
           Atelectasis         86         96     0.0511    0.00479     0.0174    0.00617
         Calcification        194        232      0.173     0.0733      0.079     0.0247
          Cardiomegaly        309        310      0.487      0.771      0.682      0.292
         Consolidation         96        126      0.253       0.19      0.129     0.0433
                   ILD        221        316      0.258      0.123      0.104     0.0356
          Infiltration         58         79      0.139      0.228     0.0827     0.0349
          Lung Opacity         84         95     0.0628      0.145     0.0236    0.00911
           Nodule/Mass        176        286      0.367      0.224      0.214     0.0873
          Other lesion         94        112      0.141     0.0804     0.0467    0.00841
      Pleural effusion        111        136      0.263      0.257      0.174     0.0485
    Pleural thickening        169        240      0.165      0.117     0.0701     0.0207
          Pneumothorax         18         25     0.0928       0.08     0.0778     0.0314
    Pulmonary fibrosis        217        358      0.193      0.156      0.097     0.0327
