"Step","05072025_yolov11n_histEQ - train/box_loss","05072025_yolov11n_histEQ - train/box_loss__MIN","05072025_yolov11n_histEQ - train/box_loss__MAX","05072025_yolov11s_histEQ2 - train/box_loss","05072025_yolov11s_histEQ2 - train/box_loss__MIN","05072025_yolov11s_histEQ2 - train/box_loss__MAX","05072025_yolov11l_histEQ3 - train/box_loss","05072025_yolov11l_histEQ3 - train/box_loss__MIN","05072025_yolov11l_histEQ3 - train/box_loss__MAX","04072025_yolov11m_histEQ - train/box_loss","04072025_yolov11m_histEQ - train/box_loss__MIN","04072025_yolov11m_histEQ - train/box_loss__MAX"
"1","2.00345","2.00345","2.00345","2.51746","2.51746","2.51746","2.92603","2.92603","2.92603","2.70619","2.70619","2.70619"
"2","1.6979","1.6979","1.6979","2.43409","2.43409","2.43409","2.86423","2.86423","2.86423","2.74908","2.74908","2.74908"
"3","1.68476","1.68476","1.68476","2.22246","2.22246","2.22246","2.66696","2.66696","2.66696","2.58208","2.58208","2.58208"
"4","1.57581","1.57581","1.57581","2.03606","2.03606","2.03606","2.61151","2.61151","2.61151","2.5133","2.5133","2.5133"
"5","1.42978","1.42978","1.42978","1.94986","1.94986","1.94986","2.50988","2.50988","2.50988","2.414","2.414","2.414"
"6","1.41314","1.41314","1.41314","1.87427","1.87427","1.87427","2.47311","2.47311","2.47311","2.37555","2.37555","2.37555"
"7","1.35385","1.35385","1.35385","1.92497","1.92497","1.92497","2.383","2.383","2.383","2.27149","2.27149","2.27149"
"8","1.26223","1.26223","1.26223","1.84194","1.84194","1.84194","2.33144","2.33144","2.33144","2.17998","2.17998","2.17998"
"9","1.24717","1.24717","1.24717","1.77421","1.77421","1.77421","2.27571","2.27571","2.27571","2.14696","2.14696","2.14696"
"10","1.18838","1.18838","1.18838","1.68735","1.68735","1.68735","2.21458","2.21458","2.21458","2.13126","2.13126","2.13126"
"11","1.16748","1.16748","1.16748","1.65564","1.65564","1.65564","2.16695","2.16695","2.16695","2.04961","2.04961","2.04961"
"12","1.13311","1.13311","1.13311","1.59303","1.59303","1.59303","2.14215","2.14215","2.14215","2.01062","2.01062","2.01062"
"13","1.11147","1.11147","1.11147","1.63429","1.63429","1.63429","2.09106","2.09106","2.09106","1.93329","1.93329","1.93329"
"14","1.08752","1.08752","1.08752","1.56444","1.56444","1.56444","2.06179","2.06179","2.06179","1.89219","1.89219","1.89219"
"15","1.13013","1.13013","1.13013","1.50886","1.50886","1.50886","2.04018","2.04018","2.04018","1.89862","1.89862","1.89862"
"16","1.14315","1.14315","1.14315","1.51728","1.51728","1.51728","1.94786","1.94786","1.94786","1.77105","1.77105","1.77105"
"17","1.03783","1.03783","1.03783","1.4864","1.4864","1.4864","1.97006","1.97006","1.97006","1.77527","1.77527","1.77527"
"18","1.08855","1.08855","1.08855","1.47713","1.47713","1.47713","1.94521","1.94521","1.94521","1.69172","1.69172","1.69172"
"19","1.0522","1.0522","1.0522","1.45966","1.45966","1.45966","1.90979","1.90979","1.90979","1.72509","1.72509","1.72509"
"20","1.06989","1.06989","1.06989","1.41957","1.41957","1.41957","1.89477","1.89477","1.89477","1.72214","1.72214","1.72214"
"21","1.00495","1.00495","1.00495","1.36681","1.36681","1.36681","1.76044","1.76044","1.76044","1.75424","1.75424","1.75424"
"22","1.0482","1.0482","1.0482","1.4191","1.4191","1.4191","1.75869","1.75869","1.75869","1.6448","1.6448","1.6448"
