"Step","05072025_yolov11n_histEQ - train/cls_loss","05072025_yolov11n_histEQ - train/cls_loss__MIN","05072025_yolov11n_histEQ - train/cls_loss__MAX","05072025_yolov11s_histEQ2 - train/cls_loss","05072025_yolov11s_histEQ2 - train/cls_loss__MIN","05072025_yolov11s_histEQ2 - train/cls_loss__MAX","05072025_yolov11l_histEQ3 - train/cls_loss","05072025_yolov11l_histEQ3 - train/cls_loss__MIN","05072025_yolov11l_histEQ3 - train/cls_loss__MAX","04072025_yolov11m_histEQ - train/cls_loss","04072025_yolov11m_histEQ - train/cls_loss__MIN","04072025_yolov11m_histEQ - train/cls_loss__MAX"
"1","3.21158","3.21158","3.21158","6.09651","6.09651","6.09651","4.37049","4.37049","4.37049","6.67381","6.67381","6.67381"
"2","1.93593","1.93593","1.93593","2.85686","2.85686","2.85686","3.28375","3.28375","3.28375","3.32446","3.32446","3.32446"
"3","1.75204","1.75204","1.75204","2.35791","2.35791","2.35791","3.11594","3.11594","3.11594","3.04397","3.04397","3.04397"
"4","1.48027","1.48027","1.48027","2.09304","2.09304","2.09304","3.00473","3.00473","3.00473","2.80302","2.80302","2.80302"
"5","1.3034","1.3034","1.3034","1.94959","1.94959","1.94959","2.64824","2.64824","2.64824","2.6058","2.6058","2.6058"
"6","1.29611","1.29611","1.29611","1.84846","1.84846","1.84846","2.46294","2.46294","2.46294","2.53406","2.53406","2.53406"
"7","1.16575","1.16575","1.16575","1.84182","1.84182","1.84182","2.29281","2.29281","2.29281","2.46321","2.46321","2.46321"
"8","1.09246","1.09246","1.09246","1.58952","1.58952","1.58952","2.26042","2.26042","2.26042","2.40026","2.40026","2.40026"
"9","1.05796","1.05796","1.05796","1.57737","1.57737","1.57737","2.16171","2.16171","2.16171","2.21046","2.21046","2.21046"
"10","1.0052","1.0052","1.0052","1.48102","1.48102","1.48102","2.05583","2.05583","2.05583","2.12353","2.12353","2.12353"
"11","0.93172","0.93172","0.93172","1.35761","1.35761","1.35761","1.95166","1.95166","1.95166","2.05472","2.05472","2.05472"
"12","0.88129","0.88129","0.88129","1.3226","1.3226","1.3226","1.90717","1.90717","1.90717","1.92694","1.92694","1.92694"
"13","0.88763","0.88763","0.88763","1.31135","1.31135","1.31135","1.82067","1.82067","1.82067","1.83418","1.83418","1.83418"
"14","0.86583","0.86583","0.86583","1.29575","1.29575","1.29575","1.73426","1.73426","1.73426","1.74834","1.74834","1.74834"
"15","0.86839","0.86839","0.86839","1.30238","1.30238","1.30238","1.74472","1.74472","1.74472","1.73109","1.73109","1.73109"
"16","0.88739","0.88739","0.88739","1.20785","1.20785","1.20785","1.69244","1.69244","1.69244","1.57419","1.57419","1.57419"
"17","0.82224","0.82224","0.82224","1.19794","1.19794","1.19794","1.56955","1.56955","1.56955","1.49197","1.49197","1.49197"
"18","0.82275","0.82275","0.82275","1.22641","1.22641","1.22641","1.59423","1.59423","1.59423","1.41364","1.41364","1.41364"
"19","0.80144","0.80144","0.80144","1.18263","1.18263","1.18263","1.51728","1.51728","1.51728","1.44017","1.44017","1.44017"
"20","0.77439","0.77439","0.77439","1.16192","1.16192","1.16192","1.56768","1.56768","1.56768","1.46402","1.46402","1.46402"
"21","0.77048","0.77048","0.77048","1.05507","1.05507","1.05507","1.47727","1.47727","1.47727","1.45544","1.45544","1.45544"
"22","0.78797","0.78797","0.78797","1.06903","1.06903","1.06903","1.38095","1.38095","1.38095","1.35688","1.35688","1.35688"
"23","0.75163","0.75163","0.75163","1.06688","1.06688","1.06688","1.47813","1.47813","1.47813","1.27155","1.27155","1.27155"
"24","0.76031","0.76031","0.76031","1.06521","1.06521","1.06521","1.38823","1.38823","1.38823","1.27934","1.27934","1.27934"
"25","0.74892","0.74892","0.74892","1.01097","1.01097","1.01097","1.36602","1.36602","1.36602","1.27277","1.27277","1.27277"
"26","0.73696","0.73696","0.73696","0.96974","0.96974","0.96974","1.34128","1.34128","1.34128","1.17686","1.17686","1.17686"
"27","0.69931","0.69931","0.69931","0.94088","0.94088","0.94088","1.2732","1.2732","1.2732","1.17511","1.17511","1.17511"
"28","0.70617","0.70617","0.70617","0.96145","0.96145","0.96145","1.29347","1.29347","1.29347","1.17792","1.17792","1.17792"
"29","0.73004","0.73004","0.73004","0.92311","0.92311","0.92311","1.20594","1.20594","1.20594","1.14662","1.14662","1.14662"
"30","0.7126","0.7126","0.7126","0.92485","0.92485","0.92485","1.17182","1.17182","1.17182","1.11069","1.11069","1.11069"
"31","0.68661","0.68661","0.68661","0.9675","0.9675","0.9675","1.1508","1.1508","1.1508","1.10792","1.10792","1.10792"
"32","0.68125","0.68125","0.68125","0.92793","0.92793","0.92793","1.17615","1.17615","1.17615","1.08874","1.08874","1.08874"
"33","0.66863","0.66863","0.66863","0.90965","0.90965","0.90965","1.19022","1.19022","1.19022","1.03432","1.03432","1.03432"
"34","0.67598","0.67598","0.67598","0.85499","0.85499","0.85499","1.14672","1.14672","1.14672","1.05456","1.05456","1.05456"
"35","0.68341","0.68341","0.68341","0.90428","0.90428","0.90428","1.08386","1.08386","1.08386","1.05692","1.05692","1.05692"
"36","0.66392","0.66392","0.66392","0.85333","0.85333","0.85333","1.07786","1.07786","1.07786","1.07224","1.07224","1.07224"
"37","0.65944","0.65944","0.65944","0.87841","0.87841","0.87841","1.07843","1.07843","1.07843","0.96452","0.96452","0.96452"
"38","0.68515","0.68515","0.68515","0.86613","0.86613","0.86613","1.10356","1.10356","1.10356","0.98303","0.98303","0.98303"
"39","0.65156","0.65156","0.65156","0.88236","0.88236","0.88236","1.09566","1.09566","1.09566","0.96483","0.96483","0.96483"
"40","0.66512","0.66512","0.66512","0.86196","0.86196","0.86196","1.09828","1.09828","1.09828","0.93956","0.93956","0.93956"
"41","0.66826","0.66826","0.66826","0.87863","0.87863","0.87863","1.13244","1.13244","1.13244","0.97424","0.97424","0.97424"
"42","0.62922","0.62922","0.62922","0.8555","0.8555","0.8555","1.05222","1.05222","1.05222","0.91315","0.91315","0.91315"
"43","0.61361","0.61361","0.61361","0.82362","0.82362","0.82362","1.00448","1.00448","1.00448","0.92756","0.92756","0.92756"
"44","0.62573","0.62573","0.62573","0.84981","0.84981","0.84981","1.00906","1.00906","1.00906","0.98188","0.98188","0.98188"
"45","0.60815","0.60815","0.60815","0.81275","0.81275","0.81275","0.9509","0.9509","0.9509","0.93468","0.93468","0.93468"
"46","0.59333","0.59333","0.59333","0.74556","0.74556","0.74556","0.94254","0.94254","0.94254","0.93614","0.93614","0.93614"
"47","0.61398","0.61398","0.61398","0.77503","0.77503","0.77503","0.9983","0.9983","0.9983","0.90696","0.90696","0.90696"
"48","0.65073","0.65073","0.65073","0.81663","0.81663","0.81663","0.98697","0.98697","0.98697","0.83599","0.83599","0.83599"
"49","0.62699","0.62699","0.62699","0.79345","0.79345","0.79345","0.94874","0.94874","0.94874","0.90086","0.90086","0.90086"
"50","0.59108","0.59108","0.59108","0.77274","0.77274","0.77274","0.97389","0.97389","0.97389","0.85769","0.85769","0.85769"
"51","0.60112","0.60112","0.60112","0.77604","0.77604","0.77604","0.97578","0.97578","0.97578","0.84342","0.84342","0.84342"
"52","0.60989","0.60989","0.60989","0.78837","0.78837","0.78837","1.00389","1.00389","1.00389","0.85123","0.85123","0.85123"
"53","0.59526","0.59526","0.59526","0.74378","0.74378","0.74378","0.93361","0.93361","0.93361","0.82655","0.82655","0.82655"
"54","0.59327","0.59327","0.59327","0.74959","0.74959","0.74959","0.91657","0.91657","0.91657","0.83472","0.83472","0.83472"
"55","0.59341","0.59341","0.59341","0.74405","0.74405","0.74405","0.89893","0.89893","0.89893","0.84586","0.84586","0.84586"
"56","0.60255","0.60255","0.60255","0.73629","0.73629","0.73629","0.90535","0.90535","0.90535","0.84272","0.84272","0.84272"
"57","0.58063","0.58063","0.58063","0.71838","0.71838","0.71838","0.91103","0.91103","0.91103","0.86729","0.86729","0.86729"
"58","0.58958","0.58958","0.58958","0.71549","0.71549","0.71549","0.88362","0.88362","0.88362","0.77831","0.77831","0.77831"
"59","0.57733","0.57733","0.57733","0.74112","0.74112","0.74112","0.86767","0.86767","0.86767","0.84379","0.84379","0.84379"
"60","0.61354","0.61354","0.61354","0.75283","0.75283","0.75283","0.8721","0.8721","0.8721","0.79204","0.79204","0.79204"
"61","0.61223","0.61223","0.61223","0.73825","0.73825","0.73825","0.87079","0.87079","0.87079","0.8116","0.8116","0.8116"
"62","0.57341","0.57341","0.57341","0.70429","0.70429","0.70429","0.82671","0.82671","0.82671","0.79876","0.79876","0.79876"
"63","0.58466","0.58466","0.58466","0.70743","0.70743","0.70743","0.82006","0.82006","0.82006","0.83899","0.83899","0.83899"
"64","0.59861","0.59861","0.59861","0.72005","0.72005","0.72005","0.8317","0.8317","0.8317","0.78503","0.78503","0.78503"
"65","0.59528","0.59528","0.59528","0.6964","0.6964","0.6964","0.84005","0.84005","0.84005","0.82588","0.82588","0.82588"
"66","0.59978","0.59978","0.59978","0.70133","0.70133","0.70133","0.81677","0.81677","0.81677","0.79983","0.79983","0.79983"
"67","0.58271","0.58271","0.58271","0.68085","0.68085","0.68085","0.82278","0.82278","0.82278","0.80137","0.80137","0.80137"
"68","0.59034","0.59034","0.59034","0.72115","0.72115","0.72115","0.79139","0.79139","0.79139","0.78912","0.78912","0.78912"
"69","0.55659","0.55659","0.55659","0.69833","0.69833","0.69833","0.83402","0.83402","0.83402","0.75247","0.75247","0.75247"
"70","0.57829","0.57829","0.57829","0.70834","0.70834","0.70834","0.81687","0.81687","0.81687","0.73597","0.73597","0.73597"
"71","0.57493","0.57493","0.57493","0.68379","0.68379","0.68379","0.80666","0.80666","0.80666","0.74886","0.74886","0.74886"
"72","0.55892","0.55892","0.55892","0.70263","0.70263","0.70263","0.81191","0.81191","0.81191","0.76309","0.76309","0.76309"
"73","0.55883","0.55883","0.55883","0.68899","0.68899","0.68899","0.8145","0.8145","0.8145","0.74885","0.74885","0.74885"
"74","0.54599","0.54599","0.54599","0.66341","0.66341","0.66341","0.80483","0.80483","0.80483","0.7377","0.7377","0.7377"
"75","0.53411","0.53411","0.53411","0.66514","0.66514","0.66514","0.78349","0.78349","0.78349","0.75833","0.75833","0.75833"
"76","0.53292","0.53292","0.53292","0.65562","0.65562","0.65562","0.78656","0.78656","0.78656","0.73641","0.73641","0.73641"
"77","0.55602","0.55602","0.55602","0.67436","0.67436","0.67436","0.78395","0.78395","0.78395","0.73554","0.73554","0.73554"
"78","0.58529","0.58529","0.58529","0.67384","0.67384","0.67384","0.82386","0.82386","0.82386","0.72656","0.72656","0.72656"
"79","0.58293","0.58293","0.58293","0.6849","0.6849","0.6849","0.80691","0.80691","0.80691","0.71288","0.71288","0.71288"
"80","0.55331","0.55331","0.55331","0.65198","0.65198","0.65198","0.76163","0.76163","0.76163","0.73165","0.73165","0.73165"
"81","0.53691","0.53691","0.53691","0.6602","0.6602","0.6602","0.77449","0.77449","0.77449","0.72552","0.72552","0.72552"
"82","0.53386","0.53386","0.53386","0.63598","0.63598","0.63598","0.74669","0.74669","0.74669","0.69914","0.69914","0.69914"
"83","0.55199","0.55199","0.55199","0.65198","0.65198","0.65198","0.77838","0.77838","0.77838","0.74275","0.74275","0.74275"
"84","0.54242","0.54242","0.54242","0.66529","0.66529","0.66529","0.75529","0.75529","0.75529","0.71893","0.71893","0.71893"
"85","0.54249","0.54249","0.54249","0.64116","0.64116","0.64116","0.73057","0.73057","0.73057","0.75381","0.75381","0.75381"
"86","0.53567","0.53567","0.53567","0.66291","0.66291","0.66291","0.76609","0.76609","0.76609","0.68879","0.68879","0.68879"
"87","0.52777","0.52777","0.52777","0.61994","0.61994","0.61994","0.73319","0.73319","0.73319","0.69387","0.69387","0.69387"
"88","0.53209","0.53209","0.53209","0.62545","0.62545","0.62545","0.74612","0.74612","0.74612","0.67544","0.67544","0.67544"
"89","0.54552","0.54552","0.54552","0.6441","0.6441","0.6441","0.72565","0.72565","0.72565","0.66934","0.66934","0.66934"
"90","0.52532","0.52532","0.52532","0.63327","0.63327","0.63327","0.71218","0.71218","0.71218","0.68292","0.68292","0.68292"
