"Step","train/box_loss","train/box_loss__MIN","train/box_loss__MAX"
"1","2.92603","2.92603","2.92603"
"2","2.86423","2.86423","2.86423"
"3","2.66696","2.66696","2.66696"
"4","2.61151","2.61151","2.61151"
"5","2.50988","2.50988","2.50988"
"6","2.47311","2.47311","2.47311"
"7","2.383","2.383","2.383"
"8","2.33144","2.33144","2.33144"
"9","2.27571","2.27571","2.27571"
"10","2.21458","2.21458","2.21458"
"11","2.16695","2.16695","2.16695"
"12","2.14215","2.14215","2.14215"
"13","2.09106","2.09106","2.09106"
"14","2.06179","2.06179","2.06179"
"15","2.04018","2.04018","2.04018"
"16","1.94786","1.94786","1.94786"
"17","1.97006","1.97006","1.97006"
"18","1.94521","1.94521","1.94521"
"19","1.90979","1.90979","1.90979"
"20","1.89477","1.89477","1.89477"
"21","1.76044","1.76044","1.76044"
"22","1.75869","1.75869","1.75869"
"23","1.8219","1.8219","1.8219"
"24","1.7935","1.7935","1.7935"
"25","1.77543","1.77543","1.77543"
"26","1.67224","1.67224","1.67224"
"27","1.6522","1.6522","1.6522"
"28","1.64007","1.64007","1.64007"
"29","1.58106","1.58106","1.58106"
"30","1.55727","1.55727","1.55727"
"31","1.56448","1.56448","1.56448"
"32","1.55739","1.55739","1.55739"
"33","1.54689","1.54689","1.54689"
"34","1.50205","1.50205","1.50205"
"35","1.46824","1.46824","1.46824"
"36","1.45301","1.45301","1.45301"
"37","1.44665","1.44665","1.44665"
"38","1.4845","1.4845","1.4845"
"39","1.48186","1.48186","1.48186"
"40","1.47199","1.47199","1.47199"
"41","1.48814","1.48814","1.48814"
"42","1.41547","1.41547","1.41547"
"43","1.39434","1.39434","1.39434"
"44","1.36951","1.36951","1.36951"
"45","1.36755","1.36755","1.36755"
"46","1.37745","1.37745","1.37745"
"47","1.39819","1.39819","1.39819"
"48","1.37521","1.37521","1.37521"
"49","1.33109","1.33109","1.33109"
"50","1.34423","1.34423","1.34423"
"51","1.36863","1.36863","1.36863"
"52","1.38534","1.38534","1.38534"
"53","1.31471","1.31471","1.31471"
"54","1.28525","1.28525","1.28525"
"55","1.26702","1.26702","1.26702"
"56","1.25991","1.25991","1.25991"
"57","1.2548","1.2548","1.2548"
