"Step","train/cls_loss","train/cls_loss__MIN","train/cls_loss__MAX"
"1","4.37049","4.37049","4.37049"
"2","3.28375","3.28375","3.28375"
"3","3.11594","3.11594","3.11594"
"4","3.00473","3.00473","3.00473"
"5","2.64824","2.64824","2.64824"
"6","2.46294","2.46294","2.46294"
"7","2.29281","2.29281","2.29281"
"8","2.26042","2.26042","2.26042"
"9","2.16171","2.16171","2.16171"
"10","2.05583","2.05583","2.05583"
"11","1.95166","1.95166","1.95166"
"12","1.90717","1.90717","1.90717"
"13","1.82067","1.82067","1.82067"
"14","1.73426","1.73426","1.73426"
"15","1.74472","1.74472","1.74472"
"16","1.69244","1.69244","1.69244"
"17","1.56955","1.56955","1.56955"
"18","1.59423","1.59423","1.59423"
"19","1.51728","1.51728","1.51728"
"20","1.56768","1.56768","1.56768"
"21","1.47727","1.47727","1.47727"
"22","1.38095","1.38095","1.38095"
"23","1.47813","1.47813","1.47813"
"24","1.38823","1.38823","1.38823"
"25","1.36602","1.36602","1.36602"
"26","1.34128","1.34128","1.34128"
"27","1.2732","1.2732","1.2732"
"28","1.29347","1.29347","1.29347"
"29","1.20594","1.20594","1.20594"
"30","1.17182","1.17182","1.17182"
"31","1.1508","1.1508","1.1508"
"32","1.17615","1.17615","1.17615"
"33","1.19022","1.19022","1.19022"
"34","1.14672","1.14672","1.14672"
"35","1.08386","1.08386","1.08386"
"36","1.07786","1.07786","1.07786"
"37","1.07843","1.07843","1.07843"
"38","1.10356","1.10356","1.10356"
"39","1.09566","1.09566","1.09566"
"40","1.09828","1.09828","1.09828"
"41","1.13244","1.13244","1.13244"
"42","1.05222","1.05222","1.05222"
"43","1.00448","1.00448","1.00448"
"44","1.00906","1.00906","1.00906"
"45","0.9509","0.9509","0.9509"
"46","0.94254","0.94254","0.94254"
"47","0.9983","0.9983","0.9983"
"48","0.98697","0.98697","0.98697"
"49","0.94874","0.94874","0.94874"
"50","0.97389","0.97389","0.97389"
"51","0.97578","0.97578","0.97578"
"52","1.00389","1.00389","1.00389"
"53","0.93361","0.93361","0.93361"
"54","0.91657","0.91657","0.91657"
"55","0.89893","0.89893","0.89893"
"56","0.90535","0.90535","0.90535"
"57","0.91103","0.91103","0.91103"
"58","0.88362","0.88362","0.88362"
"59","0.86767","0.86767","0.86767"
"60","0.8721","0.8721","0.8721"
"61","0.87079","0.87079","0.87079"
"62","0.82671","0.82671","0.82671"
"63","0.82006","0.82006","0.82006"
"64","0.8317","0.8317","0.8317"
"65","0.84005","0.84005","0.84005"
"66","0.81677","0.81677","0.81677"
"67","0.82278","0.82278","0.82278"
"68","0.79139","0.79139","0.79139"
"69","0.83402","0.83402","0.83402"
"70","0.81687","0.81687","0.81687"
"71","0.80666","0.80666","0.80666"
"72","0.81191","0.81191","0.81191"
"73","0.8145","0.8145","0.8145"
"74","0.80483","0.80483","0.80483"
"75","0.78349","0.78349","0.78349"
"76","0.78656","0.78656","0.78656"
"77","0.78395","0.78395","0.78395"
"78","0.82386","0.82386","0.82386"
"79","0.80691","0.80691","0.80691"
"80","0.76163","0.76163","0.76163"
"81","0.77449","0.77449","0.77449"
"82","0.74669","0.74669","0.74669"
"83","0.77838","0.77838","0.77838"
"84","0.75529","0.75529","0.75529"
"85","0.73057","0.73057","0.73057"
"86","0.76609","0.76609","0.76609"
"87","0.73319","0.73319","0.73319"
"88","0.74612","0.74612","0.74612"
"89","0.72565","0.72565","0.72565"
"90","0.71218","0.71218","0.71218"
"91","0.68914","0.68914","0.68914"
"92","0.67397","0.67397","0.67397"
"93","0.70897","0.70897","0.70897"
"94","0.69961","0.69961","0.69961"
"95","0.69552","0.69552","0.69552"
"96","0.68266","0.68266","0.68266"
"97","0.7303","0.7303","0.7303"
"98","0.68463","0.68463","0.68463"
"99","0.71835","0.71835","0.71835"
"100","0.67675","0.67675","0.67675"
"101","0.69305","0.69305","0.69305"
"102","0.64554","0.64554","0.64554"
"103","0.66783","0.66783","0.66783"
"104","0.69116","0.69116","0.69116"
"105","0.67633","0.67633","0.67633"
"106","0.65706","0.65706","0.65706"
"107","0.67816","0.67816","0.67816"
"108","0.68954","0.68954","0.68954"
"109","0.67452","0.67452","0.67452"
"110","0.66422","0.66422","0.66422"
"111","0.66995","0.66995","0.66995"
"112","0.66636","0.66636","0.66636"
"113","0.66886","0.66886","0.66886"
"114","0.6641","0.6641","0.6641"
"115","0.66713","0.66713","0.66713"
"116","0.6567","0.6567","0.6567"
"117","0.66841","0.66841","0.66841"
"118","0.66473","0.66473","0.66473"
"119","0.63643","0.63643","0.63643"
"120","0.65481","0.65481","0.65481"
"121","0.67269","0.67269","0.67269"
"122","0.65538","0.65538","0.65538"
"123","0.65215","0.65215","0.65215"
"124","0.65028","0.65028","0.65028"
"125","0.65634","0.65634","0.65634"
"126","0.64583","0.64583","0.64583"
"127","0.65735","0.65735","0.65735"
"128","0.65311","0.65311","0.65311"
"129","0.63221","0.63221","0.63221"
"130","0.6333","0.6333","0.6333"
"131","0.6378","0.6378","0.6378"
"132","0.63414","0.63414","0.63414"
"133","0.61055","0.61055","0.61055"
"134","0.62717","0.62717","0.62717"
"135","0.61402","0.61402","0.61402"
"136","0.6282","0.6282","0.6282"
"137","0.59859","0.59859","0.59859"
"138","0.6165","0.6165","0.6165"
"139","0.62747","0.62747","0.62747"
"140","0.62228","0.62228","0.62228"
"141","0.63522","0.63522","0.63522"
"142","0.61095","0.61095","0.61095"
"143","0.60876","0.60876","0.60876"
"144","0.6064","0.6064","0.6064"
"145","0.61689","0.61689","0.61689"
"146","0.60807","0.60807","0.60807"
"147","0.60003","0.60003","0.60003"
"148","0.62399","0.62399","0.62399"
"149","0.58288","0.58288","0.58288"
"150","0.59603","0.59603","0.59603"
"151","0.60153","0.60153","0.60153"
"152","0.61254","0.61254","0.61254"
"153","0.58978","0.58978","0.58978"
"154","0.62177","0.62177","0.62177"
"155","0.60259","0.60259","0.60259"
"156","0.58099","0.58099","0.58099"
"157","0.61064","0.61064","0.61064"
"158","0.58441","0.58441","0.58441"
"159","0.58048","0.58048","0.58048"
"160","0.58924","0.58924","0.58924"
"161","0.60002","0.60002","0.60002"
"162","0.58333","0.58333","0.58333"
"163","0.58734","0.58734","0.58734"
"164","0.58532","0.58532","0.58532"
"165","0.55975","0.55975","0.55975"
"166","0.5631","0.5631","0.5631"
"167","0.56061","0.56061","0.56061"
"168","0.58511","0.58511","0.58511"
"169","0.54241","0.54241","0.54241"
"170","0.57792","0.57792","0.57792"
"171","0.58666","0.58666","0.58666"
"172","0.59156","0.59156","0.59156"
"173","0.5962","0.5962","0.5962"
"174","0.56269","0.56269","0.56269"
"175","0.57787","0.57787","0.57787"
"176","0.58018","0.58018","0.58018"
"177","0.58493","0.58493","0.58493"
"178","0.58874","0.58874","0.58874"
"179","0.56705","0.56705","0.56705"
"180","0.55778","0.55778","0.55778"
"181","0.55343","0.55343","0.55343"
"182","0.54055","0.54055","0.54055"
"183","0.55434","0.55434","0.55434"
"184","0.5768","0.5768","0.5768"
"185","0.53552","0.53552","0.53552"
"186","0.55366","0.55366","0.55366"
"187","0.54379","0.54379","0.54379"
"188","0.56216","0.56216","0.56216"
"189","0.54834","0.54834","0.54834"
"190","0.54957","0.54957","0.54957"
"191","0.548","0.548","0.548"
"192","0.5364","0.5364","0.5364"
"193","0.55502","0.55502","0.55502"
"194","0.54149","0.54149","0.54149"
"195","0.55659","0.55659","0.55659"
"196","0.55052","0.55052","0.55052"
"197","0.54407","0.54407","0.54407"
"198","0.54996","0.54996","0.54996"
"199","0.53153","0.53153","0.53153"
"200","0.56098","0.56098","0.56098"
"201","0.53111","0.53111","0.53111"
"202","0.52115","0.52115","0.52115"
"203","0.53365","0.53365","0.53365"
"204","0.52249","0.52249","0.52249"
"205","0.53145","0.53145","0.53145"
"206","0.52269","0.52269","0.52269"
"207","0.51919","0.51919","0.51919"
"208","0.51603","0.51603","0.51603"
"209","0.52517","0.52517","0.52517"
"210","0.54185","0.54185","0.54185"
"211","0.52208","0.52208","0.52208"
"212","0.51628","0.51628","0.51628"
"213","0.52224","0.52224","0.52224"
"214","0.52344","0.52344","0.52344"
"215","0.52928","0.52928","0.52928"
"216","0.5016","0.5016","0.5016"
"217","0.50754","0.50754","0.50754"
"218","0.53251","0.53251","0.53251"
"219","0.52262","0.52262","0.52262"
"220","0.53645","0.53645","0.53645"
"221","0.51549","0.51549","0.51549"
"222","0.51866","0.51866","0.51866"
"223","0.52269","0.52269","0.52269"
"224","0.49617","0.49617","0.49617"
"225","0.49558","0.49558","0.49558"
"226","0.51265","0.51265","0.51265"
"227","0.51832","0.51832","0.51832"
"228","0.50006","0.50006","0.50006"
"229","0.50854","0.50854","0.50854"
"230","0.48836","0.48836","0.48836"
"231","0.49956","0.49956","0.49956"
"232","0.503","0.503","0.503"
"233","0.49706","0.49706","0.49706"
"234","0.51306","0.51306","0.51306"
"235","0.50585","0.50585","0.50585"
"236","0.50172","0.50172","0.50172"
"237","0.51354","0.51354","0.51354"
"238","0.50541","0.50541","0.50541"
"239","0.48864","0.48864","0.48864"
"240","0.48826","0.48826","0.48826"
"241","0.48995","0.48995","0.48995"
"242","0.48952","0.48952","0.48952"
"243","0.47719","0.47719","0.47719"
"244","0.49898","0.49898","0.49898"
"245","0.48705","0.48705","0.48705"
"246","0.48538","0.48538","0.48538"
"247","0.47577","0.47577","0.47577"
"248","0.48877","0.48877","0.48877"
"249","0.4915","0.4915","0.4915"
"250","0.47312","0.47312","0.47312"
"251","0.48061","0.48061","0.48061"
"252","0.50692","0.50692","0.50692"
"253","0.50475","0.50475","0.50475"
"254","0.48677","0.48677","0.48677"
"255","0.48015","0.48015","0.48015"
"256","0.4867","0.4867","0.4867"
"257","0.48238","0.48238","0.48238"
"258","0.48697","0.48697","0.48697"
"259","0.49838","0.49838","0.49838"
"260","0.46646","0.46646","0.46646"
"261","0.46901","0.46901","0.46901"
"262","0.47679","0.47679","0.47679"
"263","0.47868","0.47868","0.47868"
