"Step","train/dfl_loss","train/dfl_loss__MIN","train/dfl_loss__MAX"
"1","3.31049","3.31049","3.31049"
"2","3.24606","3.24606","3.24606"
"3","3.09627","3.09627","3.09627"
"4","3.02279","3.02279","3.02279"
"5","2.90977","2.90977","2.90977"
"6","2.87564","2.87564","2.87564"
"7","2.78218","2.78218","2.78218"
"8","2.7602","2.7602","2.7602"
"9","2.70053","2.70053","2.70053"
"10","2.67727","2.67727","2.67727"
"11","2.62864","2.62864","2.62864"
"12","2.62005","2.62005","2.62005"
"13","2.57616","2.57616","2.57616"
"14","2.55013","2.55013","2.55013"
"15","2.55567","2.55567","2.55567"
"16","2.48634","2.48634","2.48634"
"17","2.45247","2.45247","2.45247"
"18","2.4554","2.4554","2.4554"
"19","2.40748","2.40748","2.40748"
"20","2.43015","2.43015","2.43015"
"21","2.31348","2.31348","2.31348"
"22","2.31277","2.31277","2.31277"
"23","2.39517","2.39517","2.39517"
"24","2.31867","2.31867","2.31867"
"25","2.29795","2.29795","2.29795"
"26","2.22877","2.22877","2.22877"
"27","2.19291","2.19291","2.19291"
"28","2.22401","2.22401","2.22401"
"29","2.15762","2.15762","2.15762"
"30","2.11876","2.11876","2.11876"
"31","2.12853","2.12853","2.12853"
"32","2.11579","2.11579","2.11579"
"33","2.10735","2.10735","2.10735"
"34","2.06132","2.06132","2.06132"
"35","2.04791","2.04791","2.04791"
"36","2.02279","2.02279","2.02279"
"37","2.03964","2.03964","2.03964"
"38","2.05331","2.05331","2.05331"
"39","2.0201","2.0201","2.0201"
"40","2.04457","2.04457","2.04457"
"41","2.1046","2.1046","2.1046"
"42","1.98944","1.98944","1.98944"
"43","1.96909","1.96909","1.96909"
"44","1.95914","1.95914","1.95914"
"45","1.94096","1.94096","1.94096"
"46","1.95335","1.95335","1.95335"
"47","1.98828","1.98828","1.98828"
"48","1.95766","1.95766","1.95766"
"49","1.93348","1.93348","1.93348"
"50","1.92312","1.92312","1.92312"
"51","1.94874","1.94874","1.94874"
"52","1.95387","1.95387","1.95387"
"53","1.90246","1.90246","1.90246"
"54","1.86591","1.86591","1.86591"
"55","1.84228","1.84228","1.84228"
"56","1.8616","1.8616","1.8616"
"57","1.86376","1.86376","1.86376"
"58","1.86229","1.86229","1.86229"
"59","1.84772","1.84772","1.84772"
"60","1.80692","1.80692","1.80692"
"61","1.80124","1.80124","1.80124"
"62","1.75043","1.75043","1.75043"
"63","1.75111","1.75111","1.75111"
"64","1.78509","1.78509","1.78509"
"65","1.77333","1.77333","1.77333"
"66","1.79773","1.79773","1.79773"
"67","1.79966","1.79966","1.79966"
"68","1.77193","1.77193","1.77193"
"69","1.77329","1.77329","1.77329"
"70","1.77887","1.77887","1.77887"
"71","1.76193","1.76193","1.76193"
"72","1.76948","1.76948","1.76948"
"73","1.78854","1.78854","1.78854"
"74","1.75521","1.75521","1.75521"
"75","1.74024","1.74024","1.74024"
"76","1.73923","1.73923","1.73923"
"77","1.76338","1.76338","1.76338"
"78","1.76589","1.76589","1.76589"
"79","1.75546","1.75546","1.75546"
"80","1.71356","1.71356","1.71356"
"81","1.71191","1.71191","1.71191"
"82","1.67103","1.67103","1.67103"
"83","1.72364","1.72364","1.72364"
"84","1.68292","1.68292","1.68292"
"85","1.68958","1.68958","1.68958"
"86","1.71708","1.71708","1.71708"
"87","1.68945","1.68945","1.68945"
"88","1.69833","1.69833","1.69833"
"89","1.6626","1.6626","1.6626"
"90","1.65506","1.65506","1.65506"
"91","1.63417","1.63417","1.63417"
"92","1.60674","1.60674","1.60674"
"93","1.64405","1.64405","1.64405"
"94","1.59877","1.59877","1.59877"
"95","1.62075","1.62075","1.62075"
"96","1.63854","1.63854","1.63854"
"97","1.65717","1.65717","1.65717"
"98","1.64469","1.64469","1.64469"
"99","1.67804","1.67804","1.67804"
"100","1.60762","1.60762","1.60762"
"101","1.60345","1.60345","1.60345"
"102","1.59733","1.59733","1.59733"
"103","1.60113","1.60113","1.60113"
"104","1.61339","1.61339","1.61339"
"105","1.60533","1.60533","1.60533"
"106","1.5798","1.5798","1.5798"
"107","1.61337","1.61337","1.61337"
"108","1.60768","1.60768","1.60768"
"109","1.64585","1.64585","1.64585"
"110","1.60159","1.60159","1.60159"
"111","1.60778","1.60778","1.60778"
"112","1.58742","1.58742","1.58742"
"113","1.59898","1.59898","1.59898"
"114","1.57598","1.57598","1.57598"
